Preguntas,Categoría,Respuesta Mejorada, 
Necesito información sobre la carrera Licenciatura en Matemática Aplicada,Ingreso,"Si querés saber todo sobre la carrera, entrá acá:
🔗 https://www.famaf.unc.edu.ar/academica/grado/

Ahí vas a encontrar
*  *Plan de estudios*
* *Correlatividades*
* *Perfil del Egresado* y demás

¡Dale una mirada y después me contás si necesitás algo más! 😊",
Necesito información sobre la carrera Licenciatura en Hidrometeorología,Ingreso,"Si querés saber todo sobre la carrera, entrá acá:
🔗 https://www.famaf.unc.edu.ar/academica/grado/

Ahí vas a encontrar
*  *Plan de estudios*
* *Correlatividades*
* *Perfil del Egresado* y demás

¡Dale una mirada y después me contás si necesitás algo más! 😊",
Necesito información sobre la carrera de Profesorado en Matemática,Ingreso,"Si querés saber todo sobre la carrera, entrá acá:
🔗 https://www.famaf.unc.edu.ar/academica/grado/

Ahí vas a encontrar
*  *Plan de estudios*
* *Correlatividades*
* *Perfil del Egresado* y demás

¡Dale una mirada y después me contás si necesitás algo más! 😊",
Necesito información sobre la carrera de Profesorado en Física,Ingreso,"Si querés saber todo sobre la carrera, entrá acá:
🔗 https://www.famaf.unc.edu.ar/academica/grado/

Ahí vas a encontrar
*  *Plan de estudios*
* *Correlatividades*
* *Perfil del Egresado* y demás

¡Dale una mirada y después me contás si necesitás algo más! 😊",
Necesito información sobre la carrera Analista en Computación,Ingreso,"Si querés saber todo sobre la carrera, entrá acá:
🔗 https://www.famaf.unc.edu.ar/academica/grado/

Ahí vas a encontrar
*  *Plan de estudios*
* *Correlatividades*
* *Perfil del Egresado* y demás

¡Dale una mirada y después me contás si necesitás algo más! 😊",
Necesito información sobre la Tecnicatura Universitaria en Matemática Aplicada,Ingreso,"Si querés saber todo sobre la carrera, entrá acá:
🔗 https://www.famaf.unc.edu.ar/academica/grado/

Ahí vas a encontrar
*  *Plan de estudios*
* *Correlatividades*
* *Perfil del Egresado* y demás

¡Dale una mirada y después me contás si necesitás algo más! 😊",
Necesito información sobre la Tecnicatura Universitaria en Astronomía,Ingreso,"Si querés saber todo sobre la carrera, entrá acá:
🔗 https://www.famaf.unc.edu.ar/academica/grado/

Ahí vas a encontrar
*  *Plan de estudios*
* *Correlatividades*
* *Perfil del Egresado* y demás

¡Dale una mirada y después me contás si necesitás algo más! 😊",
"Me quiero inscribir a una materia pero figuran todas las comisiones llenas, ¿Qué hago?",Ingreso,"Si todas las comisiones están llenas, no te preocupes. *Los cupos se van liberando* a medida que se completan.

⏱️ Esperá unos minutos y volvé a intentar. ¡Seguro que encontrás lugar! 😊",
"No pude hacer la preinscripción antes de la fecha de cierre, ¿Debo esperar otro año más?",Ingreso,"""📚 *Curso de nivelación de FAMAF*

El curso de nivelación de FAMAF tiene 3 ediciones:

👉 *Modalidad intensiva* (para nuevxs ingresantes):
* Se dicta a fines de enero y febrero de cada año.
* La modalidad es intensiva y presencial, 4 hs/día en dos turnos:
      ↳ Mañana (9 a 13 hs).
      ↳ Tarde (14 a 18 hs).
* Toda la información sobre la preinscripción se publica en https://famaf.unc.edu.ar/ingresantes (aproximadamente desde principios de noviembre).

👉 *Re dictado primer cuatrimestre* (para estudiantes que realizaron la inscripción definitiva):
* Se dicta durante el primer cuatrimestre (fechas exactas en el Calendario Académico).
* La modalidad es no intensiva y presencial, 2 días/semana, 4 hs/día (horarios acá https://www.famaf.unc.edu.ar/la-facultad/institucional/secretar%C3%ADas/secretaria-academica/horarios-de-cursado/).
* La inscripción se realiza por Guaraní durante el periodo de inscripciones (ver Calendario Académico).

👉 *Modalidad no intensiva* (para nuevxs ingresantes que pueden estar en el útlio año del secundario):
* Se dicta durante agosto de cada año. 
* La modalidad puede ser presencial o a distancia, 4 hs/semana ya sea:
      ↳ Viernes de 16 hs a 20 hs.
      ↳Sábados de 9 hs a 13 hs.
* Toda la información será publicada en https://famaf.unc.edu.ar/ingresantes (aproximadamente desde junio).

✅ *Si no te inscribiste a tiempo pero las clases aún no empezaron*, escribí a despachoestudiantes@famaf.unc.edu.ar para ver si podés inscribirte igual. ¡No te quedes con la duda!",
¿Cuando hay que inscribirse para hacer el curso de ingreso no intensivo?,Ingreso,"📅 *Inscripción curso de ingreso no intensivo*: 

La fecha de inscripción al curso de ingreso *no intensivo* es desde el *1 de junio* hasta el *3 de julio*. 

Comenzarías las clases el *24 de julio* y terminarías el *14 de noviembre*.",
¿Cuando hay que inscribirse para hacer el curso de nivelación no intensivo?,Ingreso,"📅 *Inscripción curso de ingreso no intensivo*: 

La fecha de inscripción al curso de ingreso *no intensivo* es desde el *1 de junio* hasta el *3 de julio*. 

Comenzarías las clases el *24 de julio* y terminarías el *14 de noviembre*.",
¿Cuando hay que inscribirse para hacer el cursillo no intensivo?,Ingreso,"📅 *Inscripción curso de ingreso no intensivo*: 

La fecha de inscripción al curso de ingreso *no intensivo* es desde el *1 de junio* hasta el *3 de julio*. 

Comenzarías las clases el *24 de julio* y terminarías el *14 de noviembre*.",
Me gustaría hacer entrega de una computadora a la facultad,Información General,"📌 *Donaciones a FAMAF* 

Para coordinar la entrega contactá a secext@famaf.unc.edu.ar. 

¡Muchas gracias por tu aporte! 😊",
Me gustaría hacer entrega de una impresora a la facutlad,Información General,"📌 *Donaciones a FAMAF* 

Para coordinar la entrega contactá a secext@famaf.unc.edu.ar. 

¡Muchas gracias por tu aporte! 😊",
Me gustaría hacer entrega de un monitor a la facutlad,Información General,"📌 *Donaciones a FAMAF* 

Para coordinar la entrega contactá a secext@famaf.unc.edu.ar. 

¡Muchas gracias por tu aporte! 😊",
¿Cómo es el proceso para obtener equivalencias desde la UTN a FAMAF?,Información General,"📌 *Equivalencias UTN - FAMAF*

📅 *Plazos*:
* Desde el 01/08 al 31/10 podés enviar tu solicitud.
* El resultado lo tenés a comienzos del año siguiente.
* Empezás en FAMAF en marzo del año próximo (cuando te confirmen por mail).

🔍 *Evaluación*:
* No hay tabla fija: cada caso lo evalúa una Comisión Asesora.
* El Curso de Nivelación también se considera.

📄 *Documentación*:

1. *Académica*:
* Certificado Analítico Oficial (con notas, fechas y constancias de aplazos).
* Certificado de sanciones disciplinarias.
* Certificado de cancelación de matrícula (solo si el nombre de la carrera es igual).
* Programas oficiales de materias aprobadas (contenidos, carga horaria, bilbiografías, trabajos o laboratorios).
* Escala de calificaciones de la facultad que venís.
* Plan de estudios de la carrera que cursaste.
* Resolución ministerial que valide tu carrera.

2. *Personal*:
* Certificado de estudios secundarios completos (legalizado por Oficialía Mayor UNC: https://www.unc.edu.ar/oficialia-mayor).
* DNI (frente y dorso).
* Constancia de CUIL.

3. *Nota*:
* Incluí una nota dirigida al decano.
* Podés usar este modelo como referencia: https://tinyurl.com/equivalencias-externas-FAMAF

⚠️ *Importante*:
* Si ya sos alumno de FAMAF, aclaralo en la nota y podés hacer el trámite en cualquier momento.
* Si querés ingresar a más de una carrera, hacé un trámite por cada una.

📩 *Enviá todo* a oficialia@famaf.unc.edu.ar

💬 *¿Tenés dudas?* Escríbinos y te ayudamos. 😊",
¿Cual es el costo para realizar el curso de nivelación?,Ingreso,"El curso de nivelación *¡es gratis!* 🎉

¿Algo más en lo que pueda ayudarte? 😊",
¿Cómo me inscribo para Analista en Computación? No me figura en Guaraní,Ingreso,"Si buscás ser *Analista en Computación*, tené en cuenta que es un **título intermedio** de la *Licenciatura en Ciencias de la Computación*. 💻

¿Cómo te inscribis? 
👉 Al inscribirte, elegí la carrera de **Licenciatura en Ciencias de la Computación**. 
👉 Una vez que completes **3er año**, ¡ya tenés tu título de Analista! ",
¿Cómo me inscribo para la Tecnicatura Universitaria en Matemática Aplicada? No me figura en Guaraní,Ingreso,"La **Tecnicatura en Matemática Aplicada** es un **título intermedio** de la *Licenciatura en Matemática Aplicada*. ✨

¿Cómo te inscribís? 
👉 En el sistema Guaraní, tenés que anotarte en la **Licenciatura en Matemática Aplicada**. 
👉 Al completar el **3er año** de la carrera, ¡ya obtenés tu título de Técnico!
",
¿Cómo me inscribo para la Tecnicatura Universitaria en Astronomía? No me figura en Guaraní,Ingreso,"La **Tecnicatura en Astronomía** es parte de los primeros **3 años** de la *Licenciatura en Astronomía*. 🌌

¿Cómo te inscribís? 
👉 En el sistema Guaraní, tenés que anotarte en la **Licenciatura en Matemática en Astronomía**. 
👉 Al completar el **3er año** de la carrera, ¡ya obtenés tu título de Técnico!
",
¿La presinscripción es virtual o presencial?,Ingreso,"La *presinscripción* puede hacerse *virtual*, no hace falta ir a la facultad. 😊",
